"""Remember Me"" Cookie Lifetime","""Muista Minut"" Evästeen Elinikä"
"The store code may contain only letters (a-z), numbers (0-9), underscore(_) or dash(-), the first character must be a letter","Kaupan koodi voi sisältää vain kirjaimia (a-z), numeroita (0-9), alaviivoja (_) tai väliviivoja(-), ensimmäisen merkin on oltava kirjain"
"The store does not exist","Kauppaa ei ole olemassa"
"The store has been deleted.","Kauppa on poistettu."
"The store has been saved.","Kauppa on tallennettu."
"The store view #%d is disabled.","Kauppanäkymä #%d on poistettu käytöstä."
"The store view has been deleted.","Kauppanäkymä on poistettu."
"The store view has been saved","Kauppanäkymä on tallennettu"
"The template Name must not be empty.","Mallin nimi ei saa olla tyhjä."
"The value is not within the specified range.","Arvo ei ole määritetyn alueen sisällä."
"The website does not exist.","Sivustoa ei ole olemassa."
"The website has been deleted.","Sivusto on poistettu."
"The website has been saved.","Sivusto on tallennettu."
"This date is a required value.","Tämä päivämäärä on pakollinen arvo."
"This email log entry no longer exists.","Tätä sähköpostilokimerkintää ei enää ole."
"This functionality limits the number of requests a user (identified by IP address) can perform within a specific time frame, preventing excessive resources usage and maintaining system performance, stability and security.","Tämä toiminnallisuus rajoittaa käyttäjän (IP-osoitteella yksilöityjen) pyyntöjen määrää tietyn ajan kuluessa, resurssien liiallisen käytön estäminen ja järjestelmän suorituskyvyn, vakauden ja turvallisuuden ylläpitäminen."
"This is a required field.","Tämä on pakollinen kenttä."
"This setting enable notification when new admin user created.","Tämä asetus sallii ilmoituksen, kun uusi järjestelmänvalvoja on luotu."
"This store cannot be deleted.","Tätä kauppaa ei voi poistaa."
"This store view cannot be deleted.","Tätä kaupan näkymää ei voi poistaa."
"This website cannot be deleted.","Tätä sivustoa ei voi poistaa."
"This will be displayed just before body closing tag.","Tämä näytetään juuri ennen vartalon sulkemista."
"This will be included before head closing tag in page HTML.","Tämä sisällytetään ennen pään sulkemista sivulla HTML."
"Timeframe","Timeframe"
"Timezone","Timezone"
"Title Prefix","Otsikon Etuliite"
"Title Suffix","Otsikon Jälkiliite"
"To","Vastaanottaja"
"Too Soon: You are trying to perform this operation too frequently. Please wait a few seconds and try again.","Liian pian: Yrität suorittaa tämän toiminnon liian usein. Odota muutama sekunti ja yritä uudelleen."
"Transactional Emails","Transaktionaaliset Sähköpostit"
"Translations","Käännökset"
"Transport","Kuljetus"
"Two and more slashes together are not permitted in request path","Kaksi ja useampi kauttaviiva yhdessä eivät ole sallittuja pyynnön polku"
"Two and more slashes together are not permitted in url rewrite suffix","Kaksi ja useampi kauttaviiva yhdessä eivät ole sallittuja url rewrite jälkiliite"
"Type","Tyyppi"
"Unable to create directory: %s","Hakemistoa ei voitu luoda: %s"
"Unable to delete store. Please, try again later.","Kauppaa ei voi poistaa. Yritä myöhemmin uudelleen."
"Unable to delete store view. Please, try again later.","Kauppanäkymää ei voitu poistaa. Yritä myöhemmin uudelleen."
"Unable to delete website. Please, try again later.","Sivustoa ei voi poistaa. Yritä myöhemmin uudelleen."
"Unable to proceed. Please, try again","Ei voida jatkaa. Yritä uudelleen"
"Unable to proceed. Please, try again.","Ei voida jatkaa. Yritä uudelleen."
"Unable to save file ""%s"" at ""%s""","Tiedostoa ""%s"" ei voitu tallentaa ""%s"""
"Unable to save file: %s","Tiedostoa ei voitu tallentaa: %s"
"Unknown scope ""%s"".","Tuntematon ala ""%s""."
"Unsecure","Epäturvallinen"
"Url Options","URL-asetukset"
"Use Custom Admin Path","Käytä Mukautettua Järjestelmänvalvojan Polkua"
"Use Custom Admin URL","Käytä Mukautettua Järjestelmänvalvojan URL-osoitetta"
"Use HTTP Only","Käytä Vain Http"
"Use Secure URLs in Admin","Käytä suojattuja URL-osoitteita hallintapaneelissa"
"Use Secure URLs in Frontend","Käytä suojattuja URL-osoitteita julkisivustossa"
"Use SID on Frontend","Käytä SID:tä julkisivustossa"
"Validate HTTP_USER_AGENT","Vahvista HTTP_USER_AGENT"
"Validate HTTP_VIA","Vahvista HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Vahvista HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Validation has failed.","Vahvistus epäonnistui."
"Value must be a string.","Arvon on oltava merkkijono."
"Value must be between %d and %d","Arvon on oltava %d ja %d välillä"
"Variable Code must be unique.","Muuttujan koodin on oltava yksilöllinen."
"VAT Number","ALV-numero (ALV-numero)"
"View Entry","Näytä Merkintä"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Varoitus! Tämän ominaisuuden ottaminen käyttöön ei ole suositeltavaa tuotantoympäristöissä, koska se on mahdollinen turvallisuusriski."
"Web","Verkko"
"Website","Sivusto"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Sivuston koodi voi sisältää vain kirjaimia (a-z), numeroita (0-9) tai alaviivoja (_), ensimmäisen merkin on oltava kirjain"
"Website Information","Sivuston Tiedot"
"Website Name","Sivuston Nimi"
"Website with the same code","Verkkosivut, joilla on sama koodi"
"Weekend Days","Viikonlopun Päivät"
"Welcome Text","Tervetuloa Teksti"
"When enabled, all sent emails are logged for debugging and auditing purposes.","Kun käytössä, kaikki lähetetyt sähköpostit kirjataan vianetsintää ja auditointia varten."
"When enabled, emails are queued for background sending. Automatically disabled in developer mode for immediate feedback.","Kun käytössä, sähköpostit asetetaan jonoon taustan lähettämistä varten. Pois käytöstä automaattisesti kehittäjätilassa välitöntä palautetta varten."
"Without this setting, a page could be accessible with both URLs: ""example.com/category"" and ""example.com/category/"". This creates duplicate content issues for SEO. Use this setting to automatically redirect to a canonical URL format.","Ilman tätä asetusta sivu voisi olla saatavilla molemmilla URL-osoitteilla: ""example.com/category"" ja ""example.com/category/"". Tämä luo päällekkäisiä sisältöongelmia SEO:lle. Käytä tätä asetusta ohjataksesi automaattisesti kanoniseen URL-muotoon."
"Wrong file info format","Väärä tiedostomuoto"
"Wrong number of arguments for %s","Väärä määrä argumentteja %s"
"X (Twitter) URL","X (Twitter) URL"
"XML data is invalid.","XML-tiedot eivät kelpaa."
"XML object is not instance of ""\Maho\Simplexml\Element"".","XML-objekti ei ole instanssi ""\Maho\Simplexml\Element""."
"Yes","Kyllä"
"Your design change for the specified store intersects with another one, please specify another date range.","Suunnittelusi muutos määritetylle kaupan leikkauskohdille toisen kanssa, ole hyvä ja määritä toinen päivämääräalue."
"You will have to log in after you save your custom admin path.","Sinun täytyy kirjautua sisään, kun olet tallentanut mukautetun ylläpitäjäpolun."
