"# of Use","# of Use"
"%1$s incl tax.","%1$s incl tax."
"%s-%s of %s","%s-%s of %s"
"%s and above","%s and above"
"%s Item(s)","%s Item(s)"
"Roll Over for preview","Roll Over for preview"
"Root","Raiz"
"Save","Gravar"
"save","save"
"Save and Continue Edit","Gravar e Continuar Edição"
"Save Attribute","Gravar Atributo"
"Save Attribute Set","Save Attribute Set"
"Save Category","Save Category"
"Saved %d record(s)","Saved %d record(s)"
"Save Search","Gravar Pesquisa"
"Scope","Escopo"
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"Search","Pesquisa"
"Searchable","Pesquisável"
"Search Engine Optimizations","Search Engine Optimizations"
"Search Information","Informação da Pesquisa"
"Search Query","Pesquisa"
"Search Term with such search query already exists.","Search Term with such search query already exists."
"See price before order confirmation.","Consulte o preço antes da confirmar a encomenda."
"select all","selecionar tudo"
"Select Category...","Selecione a Categoria..."
"Select Configurable Attributes ","Select Configurable Attributes "
"Selected Product Types","Selected Product Types"
"Select Product...","Selecione o Produto..."
"Select type of option","Select type of option"
"Select type options required values rows.","As linha de valores são obrigatórias para este tipo de opção."
"Send Count","Número de Envios"
"Set/Get current store view","Set/Get current store view"
"Set Ascending Direction","Definir Ordenação Crescente"
"Set Descending Direction","Definir Ordenação Decrescente"
"Set Name","Set Name"
"Set Root Category for Store","Set Root Category for Store"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set root category for this store in the <a href=""%s"">configuration</a>"
"Set special price","Set special price"
"Settings","Definições"
"Show","Mostrar"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","Simple Product"
"Site Map","Mapa do site"
"Sitemap","Mapa do site"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Skip import row, required field ""%s"" for the new customer is not defined."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Skip import row, the value ""%s"" is invalid for field ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Skipping import row, required field ""%s"" for new products is not defined."
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, store ""%s"" field does not exist.","Skipping import row, store ""%s"" field does not exist."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Skipping import row, the value ""%s"" is not valid for the ""%s"" field."
"SKU","REF"
"SKU length should be %s characters maximum.","SKU length should be %s characters maximum."
"Small Image Width","Small Image Width"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products."
"Some of the selected item options are not currently available.","Algumas das opções do item selecionado não estão disponíveis de momento."
"Sort By","Ordenar por"
"Sort Order","Ordenação"
"Special Expires On: %s","Special Expires On: %s"
"Special Price:","Special Price:"
"Special Price: %s","Special Price: %s"
"Static","Estático"
"Static block and products","Bloco estático e produtos"
"Static block only","Somente bloco estático"
"Status","Estado"
"Stock Availability","Disponibilidade de Stock"
"Store","Loja"
"Store View","Vista da Loja"
"Stretch","Esticar"
"Subscribe to RSS Feed","Subscrever o Feed RSS"
"Super product attributes configuration","Super product attributes configuration"
"Synonym For","Synonym For"
"System Properties","Propriedades do Sistema"
"Tag Name","Tag Name"
"Tax","Taxa"
"Template","Modelo"
"Text","Texto"
"The attribute code '%s' is reserved by system. Please try another attribute code","The attribute code '%s' is reserved by system. Please try another attribute code"
"The attribute model is not defined","The attribute model is not defined"
"The attribute set has been saved.","The attribute set has been saved."
"The base directory to upload file is not specified.","A pasta base para carregar o ficheiro não está especificada."
"The category has been deleted.","The category has been deleted."
"The category has been saved.","The category has been saved."
"The comparison list was cleared.","The comparison list was cleared."
"The file was only partially uploaded. Please try again.","The file was only partially uploaded. Please try again."
"The file you uploaded is larger than %s Megabytes allowed by server","The file you uploaded is larger than %s Megabytes allowed by server"
"The filters must be an array.","The filters must be an array."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The following file extensions are not allowed for security reasons: %s","The following file extensions are not allowed for security reasons: %s"
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"The image contents is not valid base64 data.","The image contents is not valid base64 data."
"The image is not specified.","The image is not specified."
"The model collection resource name is not defined.","The model collection resource name is not defined."
"The product %s has been added to comparison list.","The product %s has been added to comparison list."
"The product %s has been removed from comparison list.","The product %s has been removed from comparison list."
"The product attribute has been deleted.","The product attribute has been deleted."
"The product attribute has been saved.","The product attribute has been saved."
"The product has been created.","The product has been created."
"The product has been deleted.","The product has been deleted."
"The product has been duplicated.","The product has been duplicated."
"The product has been saved.","The product has been saved."
"The product has required options","The product has required options"
"There are no %s available.","There are no %s available."
"There are no customers for this alert","There are no customers for this alert"
"There are no customers for this alert.","Não existem clientes para este alerta."
"There are no products matching the selection.","There are no products matching the selection."
"The review has been deleted","The review has been deleted"
"The review has been saved.","The review has been saved."
"The review was removed by another user or does not exist.","A avaliação foi removida por outro utilizador ou não existe."
"There was an error while request processing.","There was an error while request processing."
"The search was deleted.","The search was deleted."
"The text is too long","The text is too long"
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be edited.","Este atributo não pode ser editado."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is used in configurable products.","Este atributo é usado em produtos configuráveis."
"This Attribute no longer exists","This Attribute no longer exists"
"This attribute no longer exists","This attribute no longer exists"
"This attribute set no longer exists.","Este conjunto de atributos já não existe."
"This category no longer exists.","This category no longer exists."
"This is a required option","This is a required option"
"This product no longer exists.","This product no longer exists."
"This search no longer exists.","Esta pesquisa já não existe."
"This setting will be applied when all prices in the specific price interval are equal.","Esta definição será aplicada quando todos os preços no intervalo de preço especifico forem iguais."
"Thumbnail","Imagem Miniatura"
"Tier Pricing","Tabela de Preços"
"Tile","Azulejo"
"Title","Título"
"To","Para"
"Top/Left","Topo/Esquerda"
"Top/Right","Topo/Direita"
"To reindex the enabled product(s), the store or product must be specified","To reindex the enabled product(s), the store or product must be specified"
"To see product price, add this item to your cart. You can always remove it later.","Para ver o preço do produto, adicione este item ao seu carrinho. Você pode sempre removê-lo mais tarde."
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d record(s) were updated","Total of %d record(s) were updated"
"Type","Tipo"
"Unable to complete this request.","Unable to complete this request."
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to find a search term to delete.","Unable to find a search term to delete."
"Unable to get the product ID.","Unable to get the product ID."
"Unassigned Attributes","Atributos não atribuídos"
"Unknown EAV indexer type ""%s"".","Unknown EAV indexer type ""%s""."
"unselect all","desmarcar tudo"
"Unsupported product type ""%s"".","Unsupported product type ""%s""."
"Up-sells","Ofertas promocionais"
"Update","Actualizar"
"Update assigned product","Update assigned product"
"Update attribute","Update attribute"
"Update Attributes","Atualizar Atributos"
"Update attributes","Atualizar atributos"
"Update category","Update category"
"Update custom option of product","Update custom option of product"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Update Tier Price","Update Tier Price"
"Update value of custom option","Update value of custom option"
"Upload new product image ","Upload new product image "
"URL Rewrite Management","URL Rewrite Management"
"Use Canonical Link Meta Tag For Categories","Usar Meta-Tag com um Link Canónico para Categorias"
"Use Canonical Link Meta Tag For Products","Usar Meta-Tag com um Link Canónico para Produtos"
"Use Categories Path for Product URLs","Usar o Caminho da Categoria para os URLs dos Produtos"
"Use config","Usar configuração"
"Use Config Settings","Usar Definições de Configuração"
"Use default","Use default"
"Use Default Value","Usar o Valor Pré-definido"
"Used for Sorting in Product Listing","Usado para Ordenação na Listagem de Produtos"
"Used in Product Listing","Usado na Listagem de Produtos"
"Used to fill the frame when Keep Frame is enabled","Used to fill the frame when Keep Frame is enabled"
"Use Flat Catalog Category","Usar Categoria do Catálogo Flat"
"Use Flat Catalog Product","Usar Produto do Catálogo Flat"
"Use for Promo Rule Conditions","Usar como Condição para Regra de Promoção"
"Use four-digit year format. Used for min/max attributes on native date inputs.","Use four-digit year format. Used for min/max attributes on native date inputs."
"Use in Advanced Search","Use in Advanced Search"
"Use In Layered Navigation","Use In Layered Navigation"
"Use in Layered Navigation","Utilizar em Navegação por Camadas"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')"
"Use in Quick Search","Use in Quick Search"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"Use To Create Configurable Product","Use To Create Configurable Product"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Value for ""%s"" is invalid.","Value for ""%s"" is invalid."
"Value for ""%s"" is invalid: %s","Value for ""%s"" is invalid: %s"
"Varchar","Varchar"
"View All Products","View All Products"
"View as","Ver como"
"View Details","Ver Detalhes"
"View image %s","View image %s"
"Virtual Product","Virtual Product"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visible on Catalog Pages on Front-end"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Watermark"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark Position","Watermark Position"
"Website","Site"
"Websites","Sites"
"What's this?","O que é isto?"
"When enabled, associated products are automatically recalculated when reindex runs.","When enabled, associated products are automatically recalculated when reindex runs."
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
"Will make search for the query above return results for this search.","Will make search for the query above return results for this search."
"Wrong BuyRequest instance in options group.","Wrong BuyRequest instance in options group."
"Wrong configuration item instance in options group.","Wrong configuration item instance in options group."
"Wrong configuration item option instance in options group.","Wrong configuration item option instance in options group."
"Wrong option instance type in options group.","Wrong option instance type in options group."
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group.","Wrong product instance type in options group."
"Wrong product type filter specified","Wrong product type filter specified"
"Wrong product type to extract configurable options.","Wrong product type to extract configurable options."
"WYSIWYG Editor","Editor WYSIWYG"
"x","x"
"Year Range","Intervalo de Ano"
"Yes","Sim"
"Yes, with images","Yes, with images"
"You have no items to compare.","Não tem items para comparar."
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"You saved the search term.","Gravou o termo de pesquisa."
