"# of Use","# Benutzen"
"%1$s incl tax.","%1$s inkl. Steuer."
"%s - %s","%s - %s"
"%s Item(s)","%s Eintrag(e)"
"%s and above","%s und höher"
"%s-%s of %s","%s-%s von %s"
"Please select one or more attributes.","Bitte wählen Sie ein oder mehrere Attribute aus."
"Please select product(s).","Bitte Produkt(e) auswählen."
"Please select products for attributes update","Bitte wählen Sie Produkte für Attribut-Update"
"Please set up merge date/time","Bitte Merge Datum/Zeit einrichten"
"Please set up merge date/time later then present date","Bitte ordnen Sie das Merge Datum/Zeit später an und legen Sie dann das aktuelle Datum fest"
"Please specify date required option <em>%s</em>.","Bitte geben Sie das Datum der erforderlichen Option <em>%s</em> an."
"Please specify date required option(s).","Bitte geben Sie die erforderlichen Datumsoption(en) an."
"Please specify the number of products, that will not be divided into subintervals.","Bitte geben Sie die Anzahl der Produkte an, die nicht in Subintervalle aufgeteilt werden."
"Please specify the product required option <em>%s</em>.","Bitte geben Sie die gewünschte Produktoption <em>%s</em> an."
"Please specify the product required option(s)","Bitte geben Sie die gewünschte Produktoption(en) an"
"Please specify the product required option(s).","Bitte geben Sie die gewünschten Produktoption(en) an."
"Please specify the product's option(s).","Bitte geben Sie die Artikeloption(en) an."
"Please specify the product's required option(s).","Bitte geben Sie die benötigten Option(en) des Produkts an."
"Please specify the quantity of product(s).","Bitte geben Sie die Anzahl der Artikel(e) an."
"Please specify time required option <em>%s</em>.","Bitte geben Sie die benötigte Zeit <em>%s</em> an."
"Please specify time required option(s).","Bitte geben Sie die benötigte Zeit an(n) an."
"Please wait...","Bitte warten..."
"Position","Position"
"Position in Layered Navigation","Position in der Filternavigation"
"Position of attribute in layered navigation block","Position des Attributs im Layered Navigation Block"
"Prev","Vorher"
"Previous","Vorherige"
"Price","Preis"
"Price Navigation Step Calculation","Preisnavigation Schrittberechnung"
"Price Type","Preistyp"
"Price is not available","Preis ist nicht verfügbar"
"Price values for options should be specified in system base currency.","Preiswerte für Optionen sollten in System-Basiswährung angegeben werden."
"Price:","Preis:"
"Price: %s","Preis: %s"
"Print This Page","Diese Seite drucken"
"Product","Produkt"
"Product API","Produkt-API"
"Product Alerts","Produkt-Warnungen"
"Product Attribute","Produkt-Attribut"
"Product Attributes","Produkt-Attribute"
"Product Categories","Produktkategorien"
"Product Description","Produktbeschreibung"
"Product Extra Info","Zusätzliche Produktinfo"
"Product Flat Data","Produktflat Daten"
"Product ID","Produkt-ID"
"Product Image","Produktbild"
"Product Image Placeholders","Artikelbild-Platzhalter"
"Product Image Watermarks","Produktbild-Wasserzeichen"
"Product Images","Produktbilder"
"Product Images API","Produktbilder API"
"Product In Websites","Produkt auf Webseiten"
"Product Info Column","Produktinformationsspalte"
"Product Information","Produktinformationen"
"Product Link Block Template","Produktlink Blockvorlage"
"Product Link Inline Template","Produktlink Inline-Vorlage"
"Product Listing Sort by","Produktliste sortieren nach"
"Product Name","Produktname"
"Product Prices","Produktpreise"
"Product Reviews","Produktbewertungen"
"Product Tags","Produkt-Tags"
"Product Tier Price API","Preistarif API"
"Product Type","Produkttyp"
"Product URL Suffix","Produkt-URL-Suffix"
"Product View Extra Hint","Produktansicht Zusatztipps"
"Product attribute sets API","Produkt-Attribut-Sets API"
"Product attributes API","Produkt-Attribut-API"
"Product collection expected.","Produkt-Sammlung erwartet."
"Product is not loaded","Produkt ist nicht geladen"
"Product links API (related, cross sells, up sells)","Produkt-Links API (verwandt, Cross-Selling, Up-Selling)"
"Product types API","Produkttypen API"
"Product with this combination of attributes already associated to configurable.","Produkt mit dieser Kombination von Attributen, die bereits konfigurierbar sind."
"Products","Produkte"
"Products Comparison List","Artikel-Vergleichsliste"
"Products Information","Produktinformationen"
"Products Reviews","Produkt-Bewertungen"
"Products Sitemap","Produkte Sitemap"
"Products only","Nur Produkte"
"Products per Page on Grid Allowed Values","Produkte pro Seite auf Grid Erlaubte Werte"
"Products per Page on Grid Default Value","Produkte pro Seite auf Rasterwert"
"Products per Page on List Allowed Values","Produkte pro Seite auf Liste erlaubte Werte"
"Products per Page on List Default Value","Produkte pro Seite im Standardwert der Liste"
"Properties","Eigenschaften"
"Qty","Menge"
"Qty Increments","Mengensteigerungen"
"Qty Uses Decimals","Menge verwendet Dezimalstellen"
"Qty for Item's Status to Become Out of Stock","Menge für ausverkaufte Artikel"
"Qty:","Menge:"
"Quantity","Menge"
"Quick Create","Schnell erstellen"
"Quick Overview","Schnellübersicht"
"Quick simple product creation","Schnelle einfache Produkterstellung"
"Records for ""%s"" store found.","Datensätze für ""%s"" Store gefunden."
"Redirect","Umleitung"
"Redirect URL","Weiterleitungs-URL"
"Regular Price:","Normaler Preis:"
"Related Products","Verwandte Produkte"
"Remove","Entfernen"
"Remove Product From Websites","Produkt von Webseiten entfernen"
"Remove This Item","Dieses Element entfernen"
"Remove attribute from attribute set","Attribut aus Attributset entfernen"
"Remove attribute set","Attributset entfernen"
"Remove custom option","Eigene Option entfernen"
"Remove group from attribute set","Gruppe aus Attributset entfernen"
"Remove option","Option entfernen"
"Remove product assignment","Produkt-Zuordnung entfernen"
"Remove product image","Artikelbild entfernen"
"Remove product link","Produkt-Link entfernen"
"Remove value from custom option","Wert von benutzerdefinierter Option entfernen"
"Rename existing group","Vorhandene Gruppe umbenennen"
"Rename group","Gruppe umbenennen"
"Reorganize EAV category structure to flat structure","Struktur der EAV Kategorie neu organisieren"
"Reorganize EAV product structure to flat structure","EAV Produktstruktur in flache Struktur umorganisieren"
"Reset","Reset"
"Results","Ergebnisse"
"Results per page","Ergebnisse pro Seite"
"Retrieve attribute data","Attributdaten abrufen"
"Retrieve attribute list","Attributliste abrufen"
"Retrieve attribute options","Attributoptionen abrufen"
"Retrieve categories tree","Kategorienbaum abrufen"
"Retrieve category attributes","Kategorie-Attribute abrufen"
"Retrieve category data","Kategorie-Daten abrufen"
"Retrieve hierarchical tree","Hierarchischen Baum abrufen"
"Retrieve linked products","Verknüpfte Produkte abrufen"
"Retrieve list of assigned products","Liste der zugewiesenen Produkte abrufen"
"Retrieve list of option values","Liste der Optionswerte abrufen"
"Retrieve list of product custom options","Liste der benutzerdefinierten Produktoptionen abrufen"
"Retrieve one level of categories by website/store view/parent category","Eine Kategorieebene nach Webseite/Store-View/Eltern-Kategorie abrufen"
"Retrieve option value info","Optionswert abrufen"
"Retrieve product","Produkt abrufen"
"Retrieve product attribute sets","Artikelattributsets abrufen"
"Retrieve product image","Artikelbild abrufen"
"Retrieve product image list","Produkt-Bildliste abrufen"
"Retrieve product image types","Artikelbildtypen abrufen"
"Retrieve product link type attributes","Attribute des Produkt-Link-Typs abrufen"
"Retrieve product link types","Produkt-Link-Typen abrufen"
"Retrieve product tier prices","Artikelstatuspreise abrufen"
"Retrieve product types","Produkttypen abrufen"
"Retrieve products data","Artikeldaten abrufen"
"Retrieve products list by filters","Produktliste nach Filtern abrufen"
"Reviews","Bewertungen"
"Roll Over for preview","Für die Vorschau rollen"
"Root","Wurzel"
"SKU","SKU"
"SKU length should be %s characters maximum.","Die SKU-Länge sollte maximal %s Zeichen lang sein."
"Save","Speichern"
"Save Attribute","Attribut speichern"
"Save Attribute Set","Attribut-Set speichern"
"Save Category","Kategorie speichern"
"Save Search","Suche speichern"
"Save and Continue Edit","Speichern und Bearbeiten fortsetzen"
"Saved %d record(s)","%d Eintrag(e) gespeichert"
"Scope","Bereich"
"Scope must not be changed, because the attribute is used in configurable products.","Der Bereich darf nicht geändert werden, da das Attribut in konfigurierbaren Produkten verwendet wird."
"Search","Suchen"
"Search Engine Optimizations","Suchmaschinenoptimierungen"
"Search Information","Suchinformation"
"Search Query","Suchanfrage"
"Search Term with such search query already exists.","Suchbegriff mit dieser Suchanfrage existiert bereits."
"Search Weight","Suchgewicht"
"Searchable","Durchsuchbar"
"See price before order confirmation.","Siehe Preis vor Auftragsbestätigung."
"Select Category...","Kategorie auswählen..."
"Select Configurable Attributes ","Konfigurierbare Attribute auswählen "
"Select Product...","Produkt auswählen..."
"Select type of option","Optionstyp auswählen"
"Select type options required values rows.","Wählen Sie die Typ-Optionen, die erforderlich sind Wertezeilen."
"Selected Product Types","Ausgewählte Produkttypen"
"Send Count","Anzahl senden"
"Set Ascending Direction","Aufsteigende Richtung setzen"
"Set Descending Direction","Absteigend Richtung setzen"
"Set Name","Name festlegen"
"Set Root Category for Store","Root-Kategorie für Store festlegen"
"Set root category for this store in the <a href=""%s"">configuration</a>","Root-Kategorie für diesen Store in der <a href=""%s"">Konfiguration</a> festlegen"
"Set special price","Sonderpreis festlegen"
"Set/Get current store view","Aktuelle Shopansicht ein-/abrufen"
"Settings","Einstellungen"
"Share Facebook","Facebook teilen"
"Share on Facebook","Auf Facebook teilen"
"Share on Twitter","Auf Twitter teilen"
"Shop By","Einkaufen von"
"Shopping Options","Einkaufsoptionen"
"Show","Zeigen"
"Show Details","Details anzeigen"
"Show Tags","Tags anzeigen"
"Simple Product","Einfaches Produkt"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Importzeile überspringen, ist ungültiger Wert ""%s"" für Feld ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Importzeile überspringen, Pflichtfeld ""%s"" für den neuen Kunden ist nicht definiert."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Importzeile überspringen, der Wert ""%s"" ist ungültig für das Feld ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Importzeile übersprungen, Pflichtfeld ""%s"" für neue Produkte ist nicht definiert."
"Skipping import row, required field ""%s"" is not defined.","Importzeile wird übersprungen, Pflichtfeld ""%s"" ist nicht definiert."
"Skipping import row, store ""%s"" field does not exist.","Importzeile übersprungen, speichern ""%s"" Feld existiert nicht."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Importzeile wird übersprungen, der Wert ""%s"" ist nicht gültig für das ""%s"" Feld."
"Small Image Width","Breite des kleinen Bildes"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Einige der verarbeiteten Produkte haben keinen SKU-Wert definiert. Bitte füllen Sie ihn aus, bevor Sie den Vorgang mit diesen Produkten durchführen."
"Some of the selected item options are not currently available.","Einige der ausgewählten Optionen sind derzeit nicht verfügbar."
"Sort By","Sortieren nach"
"Sort Order","Sortierung"
"Source Model","Quellmodell"
"Special Expires On: %s","Spezial läuft ab am: %s"
"Special Price:","Sonderpreis:"
"Special Price: %s","Sonderpreis: %s"
"Starting at:","Beginnt am:"
"Static","Statisch"
"Static block and products","Statischer Block und Artikel"
"Static block only","Nur Statischer Block"
"Status","Status"
"Stock Availability","Lagerverfügbarkeit"
"Store","Shop"
"Store View","Store-Ansicht"
"Stretch","Dehnen"
"Subscribe to RSS Feed","RSS-Feed abonnieren"
"Super product attributes configuration","Konfiguration der Superprodukt-Attribute"
"Synonym For","Synonym für"
"System Properties","Systemeigenschaften"
"Tag Name","Tag-Name"
"Tax","Steuer"
"Template","Vorlage"
"Text","Text"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Das Flat Catalog-Modul hat ein Limit von %2\$d filterbare und/oder sortierbare Attribute. Derzeit gibt es %1\$d von ihnen. Bitte reduzieren Sie die Anzahl der filterbaren/sortierbaren Attribute, um dieses Modul zu nutzen"
"The From Date value should be less than or equal to the To Date value.","Der Anfangsdatum sollte kleiner oder gleich dem Enddatum sein."
"The attribute code '%s' is reserved by system. Please try another attribute code","Der Attributcode '%s' ist vom System reserviert. Bitte versuchen Sie einen anderen Attributcode"
"The attribute model is not defined","Das Attributmodell ist nicht definiert"
"The attribute set has been saved.","Das Attributset wurde gespeichert."
"The base directory to upload file is not specified.","Das Basisverzeichnis zum Hochladen der Datei ist nicht angegeben."
"The category has been deleted.","Die Kategorie wurde gelöscht."
"The category has been saved.","Die Kategorie wurde gespeichert."
"The comparison list was cleared.","Die Vergleichsliste wurde gelöscht."
"The file '%s' for '%s' has an invalid extension","Die Datei '%s' für '%s' hat eine ungültige Erweiterung"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Die Datei '%s' die Sie hochgeladen haben ist größer als %s Megabytes vom Server erlaubt"
"The file you uploaded is larger than %s Megabytes allowed by server","Die hochgeladene Datei ist größer als %s Megabytes vom Server erlaubt"
"The filters must be an array.","Die Filter müssen ein Array sein."
"The image contents is not valid base64 data.","Der Bildinhalt ist keine gültige base64-Daten."
"The image is not specified.","Das Bild ist nicht angegeben."
"The model collection resource name is not defined.","Der Ressourcenname der Modellsammlung ist nicht definiert."
"The product %s has been added to comparison list.","Das Produkt %s wurde zur Vergleichsliste hinzugefügt."
"The product %s has been removed from comparison list.","Das Produkt %s wurde von der Vergleichsliste entfernt."
"The product attribute has been deleted.","Das Produkt-Attribut wurde gelöscht."
"The product attribute has been saved.","Das Produkt-Attribut wurde gespeichert."
"The product has been created.","Das Produkt wurde erstellt."
"The product has been deleted.","Das Produkt wurde gelöscht."
"The product has been duplicated.","Der Artikel wurde dupliziert."
"The product has been saved.","Das Produkt wurde gespeichert."
"The product has required options","Das Produkt hat erforderliche Optionen"
"The review has been deleted","Die Bewertung wurde gelöscht"
"The review has been saved.","Die Bewertung wurde gespeichert."
"The review was removed by another user or does not exist.","Die Bewertung wurde von einem anderen Benutzer entfernt oder existiert nicht."
"The search was deleted.","Die Suche wurde gelöscht."
"The text is too long","Der Text ist zu lang"
"There are no %s available.","Es sind keine %s verfügbar."
"There are no customers for this alert","Es gibt keine Kunden für diesen Alarm"
"There are no customers for this alert.","Es gibt keine Kunden für diese Warnung."
"There are no products matching the selection.","Es gibt keine Artikel, die der Auswahl entsprechen."
"There was an error while request processing.","Bei der Bearbeitung der Anfrage ist ein Fehler aufgetreten."
"This Attribute no longer exists","Dieses Attribut existiert nicht mehr"
"This attribute cannot be deleted.","Dieses Attribut kann nicht gelöscht werden."
"This attribute cannot be edited.","Dieses Attribut kann nicht bearbeitet werden."
"This attribute cannot be updated.","Dieses Attribut kann nicht aktualisiert werden."
"This attribute is used in configurable products.","Dieses Attribut wird in konfigurierbaren Produkten verwendet."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Dieses Attribut wird in konfigurierbaren Produkten verwendet. Sie können es nicht aus dem Attributset entfernen."
"This attribute no longer exists","Dieses Attribut existiert nicht mehr"
"This attribute set no longer exists.","Dieses Attributset existiert nicht mehr."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Diese Gruppe enthält Attribute, die in konfigurierbaren Produkten verwendet werden. Bitte verschieben Sie diese Attribute in eine andere Gruppe und versuchen Sie es erneut."
"This group contains system attributes. Please move system attributes to another group and try again.","Diese Gruppe enthält Systemeigenschaften. Bitte verschieben Sie die Systemattribute in eine andere Gruppe und versuchen Sie es erneut."
"This is a required option","Dies ist eine erforderliche Option"
"This product no longer exists.","Dieses Produkt existiert nicht mehr."
"This search no longer exists.","Diese Suche existiert nicht mehr."
"This setting will be applied when all prices in the specific price interval are equal.","Diese Einstellung wird angewandt, wenn alle Preise im bestimmten Preisintervall gleich sind."
"Tier Pricing","Staffelpreis"
"Tile","Kachel"
"Time Format","Zeitformat"
"Title","Titel"
"To reindex the enabled product(s), the store or product must be specified","Um die aktivierten Artikel(e) neu zu indizieren, muss der Shop oder der Artikel angegeben werden"
"To see product price, add this item to your cart. You can always remove it later.","Fügen Sie diesen Artikel zu Ihrem Warenkorb hinzu, um den Produktpreis zu sehen. Sie können ihn später immer entfernen."
"Top/Left","Oben/Links"
"Top/Right","Oben/Rechts"
"Total Qty Base Items","Gesamtmenge Basisartikel"
"Total Qty Content Items","Gesamtanzahl Inhaltselemente"
"Total incl. Tax: %1$s","Gesamtsumme inkl. Steuern: %1$s"
"Total of %d record(s) have been deleted.","Insgesamt wurden %d Einträge(n) gelöscht."
"Total of %d record(s) have been updated.","Gesamte %d Einträge(n) wurden aktualisiert."
"Total of %d record(s) were updated","Gesamt %d Datensatz(e) wurden aktualisiert"
"Type","Typ"
"URL Rewrite Management","URL-Rewrite-Management"
"Unable to complete this request.","Anfrage konnte nicht abgeschlossen werden."
"Unable to find a search term to delete.","Es konnte kein Suchbegriff zum Löschen gefunden werden."
"Unable to find an attribute to delete.","Konnte kein Attribut zum Löschen finden."
"Unable to get the product ID.","Produkt-ID konnte nicht abgerufen werden."
"Unassigned Attributes","Nicht zugewiesene Attribute"
"Unknown EAV indexer type ""%s"".","Unbekannter EAV Indexer Typ ""%s""."
"Unknown attribute: %s.","Unbekanntes Attribut: %s."
"Unsupported product type ""%s"".","Nicht unterstützter Produkttyp ""%s""."
"Up-sells","Up-Sells"
"Update","Aktualisieren"
"Update Attributes","Attribute aktualisieren"
"Update Tier Price","Statuspreis aktualisieren"
"Update assigned product","Zugewiesenes Produkt aktualisieren"
"Update attribute","Attribut aktualisieren"
"Update attributes","Attribute aktualisieren"
"Update category","Kategorie aktualisieren"
"Update custom option of product","Individuelle Option des Produkts aktualisieren"
"Update product","Produkt aktualisieren"
"Update product image","Artikelbild aktualisieren"
"Update product link","Produkt-Link aktualisieren"
"Update product tier prices","Artikelstatuspreise aktualisieren"
"Update value of custom option","Wert der benutzerdefinierten Option aktualisieren"
"Upload new product image ","Neues Produktbild hochladen "
"Use Canonical Link Meta Tag For Categories","Canonical Link Meta-Tag für Kategorien verwenden"
"Use Canonical Link Meta Tag For Products","Canonical Link Meta Tag für Produkte verwenden"
"Use Categories Path for Product URLs","Kategorienpfad für Produkt-URLs verwenden"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"Use Default Value","Standardwert verwenden"
"Use Flat Catalog Category","Flat Catalog Kategorie verwenden"
"Use Flat Catalog Product","Flat Katalog Produkt verwenden"
"Use In Layered Navigation","In Filternavigation verwenden"
"Use In Search Results Layered Navigation","In Suchergebnisse Filternavigation verwenden"
"Use JavaScript Calendar","JavaScript-Kalender verwenden"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Statische URLs für Medieninhalte in WYSIWYG für Katalog verwenden"
"Use To Create Configurable Product","Verwende um konfigurierbares Produkt zu erstellen"
"Use Tree Like Category Sitemap","Benutze Baum wie Kategorie Sitemap"
"Use config","Konfiguration verwenden"
"Use default","Standard verwenden"
"Use for Promo Rule Conditions","Für Promo-Regelbedingungen verwenden"
"Use four-digit year format.","Vierstelliges Jahresformat verwenden."
"Use in Advanced Search","In erweiterter Suche verwenden"
"Use in Layered Navigation","In Filternavigation verwenden"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","In der Filternavigation<br/>verwenden (nur mit Katalogeingabe-Typ 'Dropdown' verwenden)"
"Use in Quick Search","In Schnellsuche verwenden"
"Used for Sorting in Product Listing","Zur Sortierung in der Produktliste verwendet"
"Used in Product Listing","In der Produktliste verwendet"
"Value for ""%s"" is invalid.","Wert für ""%s"" ist ungültig."
"Value for ""%s"" is invalid: %s","Wert für ""%s"" ist ungültig: %s"
"Varchar","Varchar"
"View Details","Details anzeigen"
"View as","Ansicht als"
"Virtual Product","Virtuelles Produkt"
"Visibility","Sichtbarkeit"
"Visible","Sichtbar"
"Visible on Catalog Pages on Front-end","Auf Katalogseiten im Frontend sichtbar"
"Visible on Product View Page on Front-end","Sichtbar auf der Produktansicht im Frontend"
"WYSIWYG Editor","WYSIWYG Editor"
"Watermark","Wasserzeichen"
"Watermark Default Size","Wasserzeichen Standardgröße"
"Watermark Opacity, Percent","Wasserzeichen-Deckkraft, Prozent"
"Watermark Position","Wasserzeichen Position"
"We Also Recommend","Wir empfehlen auch"
"Website","Webseite"
"Website Item Must be checked","Website-Element muss überprüft werden"
"Website Store Must be checked","Website-Store muss überprüft werden"
"Websites","Webseiten"
"What's this?","Was ist das?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Ob ""Alle"" Option in der ""Zeige X Per Page"" Dropdown"" angezeigt werden soll."
"Will make search for the query above return results for this search.","Gibt die Suche nach der obigen Abfrage Ergebnisse für diese Suche zurück."
"Wrong BuyRequest instance in options group.","Falsche BuyRequest Instanz in der Optionsgruppe."
"Wrong configuration item instance in options group.","Falsche Konfigurations-Elementinstanz in der Optionsgruppe."
"Wrong configuration item option instance in options group.","Falsche Konfigurationselement-Optionsinstanz in der Optionsgruppe."
"Wrong option instance type in options group.","Falscher Optionsinstanztyp in der Optionsgruppe."
"Wrong option type to get group instance.","Falscher Options-Typ, um Gruppen-Instanz zu erhalten."
"Wrong product instance type in options group.","Falscher Artikelinstanztyp in der Optionsgruppe."
"Wrong product type filter specified","Falscher Produkttyp Filter angegeben"
"Wrong product type to extract configurable options.","Falscher Produkttyp, um konfigurierbare Optionen zu extrahieren."
"Year Range","Jahresbereich"
"Yes","Ja"
"You cannot remove system attribute from this set.","Sie können das System-Attribut nicht aus diesem Set entfernen."
"You have no items to compare.","Sie haben keine Elemente zu vergleichen."
"You may also be interested in the following product(s)","Möglicherweise interessieren Sie sich auch für folgende Produkte(n)"
"You saved the search term.","Sie haben den Suchbegriff gespeichert."
"Zoom In","Vergrößern"
"Zoom Out","Verkleinern"
"and","und"
"and above","und höher"
"categories","kategorie"
"each","jeder"
"ex. http://domain.com","z. B. http://domain.com"
"leave blank if its not an image","leer lassen, wenn kein Bild vorhanden ist"
"per page","pro Seite"
"products","artikel"
"px.","px."
"save","speichern"
"select all","alle auswählen"
"unselect all","alle entfernen"
"x","x"
